archivo_web,fuente_original,ubicacion_master
horta-frankfurter-allgemeine-estadio-texto-2.webp,Ninguna,N/A
horta-new-york-times-nicaragua-1987.webp,Ninguna,N/A
horta-nicaragua-parque-eolico.webp,Ninguna,N/A
horta-preservacion-digital-proyecto-surdao.webp,Ninguna,N/A
horta-propiedad-faros-chile.webp,Ninguna,N/A
horta-propiedad-uyuni-panoramica.webp,Ninguna,N/A
horta-revista-sueca-especial-1995.webp,Ninguna,N/A
horta-stern-anuario-colera-peru-1991.webp,Ninguna,N/A
horta-stern-jahrbuch-portada-1991.webp,Ninguna,N/A
horta-suecia-reportaje-colera-peru-2.webp,Ninguna,N/A
horta-suecia-reportaje-colera-portada.webp,Ninguna,N/A
horta-suecia-reportaje-colera-texto.webp,Ninguna,N/A
miembros__zeitenspiegel.jpeg,Ninguna,N/A
new_york_times_1987.jpeg,Ninguna,N/A
pub_francia_colera.jpeg,Ninguna,N/A
revista_sueca_1995.jpeg,Ninguna,N/A
spiegel_das_war_1991.jpeg,Ninguna,N/A
spiegel_pampa_1991.jpeg,Ninguna,N/A
spiegel_pampa_1991_tex.jpeg,Ninguna,N/A
sueca_colera_portada.jpeg,Ninguna,N/A
sueca_colera_texto.jpeg,Ninguna,N/A
sueca_estadio_nacional.jpeg,Ninguna,N/A
sueca_estadio_texto_1.jpeg,Ninguna,N/A
sueca_estadio_texto_2.jpeg,Ninguna,N/A
sueca_sondag_.jpeg,Ninguna,N/A
sueca_sondag_portada_1.jpeg,Ninguna,N/A
sueca_sondag_portada_2.jpeg,Ninguna,N/A
