archivo_nombre,estado_db,fuente_origen,ruta_fisica,gps
._DSC_1843.jpg,NO ENCONTRADO EN DB,N/A,N/A,SIN GPS
._DSC_1847.jpg,NO ENCONTRADO EN DB,N/A,N/A,SIN GPS
._GOPR6817.jpg,NO ENCONTRADO EN DB,N/A,N/A,SIN GPS
DSC_1843.jpg,VINCULADO,LIVE,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\DSC_1843.jpg,SIN GPS
DSC_1847.jpg,VINCULADO,LIVE,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\DSC_1847.jpg,SIN GPS
GOPR6817.jpg,NO ENCONTRADO EN DB,N/A,N/A,SIN GPS
